Grey Wolf,Canis lupus,10-20 yrs,"Asia, Europe, North America, Africa","Albania, Armenia, Azerbaijan, Belarus, Bhutan, Bosnia and Herzegovina, Bulgaria, Canada, China, Croatia,",Stable,Least concern (LC)
Tiger,Panthera tigris,10-15 yrs,Asia,"Bangladesh, Bhutan, China,   India, Indonesia, Laos, Malaysia, Myanmar, Nepal, Russia,",Decreasing,Endangered (EN)
Brown Bear,Ursus arctos,20-50 yrs,"Asia, Europe, North America","Albania, Armenia, Austria, Azerbaijan, Belarus, Bosnia and Herzegovina, Bulgaria, Canada, China, Croatia,",Stable,Least concern (LC)
Blue Whale,Balaenoptera musculus,80-90 yrs,"Africa, South America, Oceania, North America, Asia, Europe, Antarctica","Angola, Argentina, Australia, Bahamas, Bangladesh, Benin, Brazil, Cameroon, Canada, Cape Verde,",Increasing,Endangered (EN)
Giant Panda,Ailuropoda melanoleuca,20-30 yrs,Asia,China,Increasing,Vulnerable (VU)
Lion,Panthera leo,12-25 yrs,"Africa, Asia","Angola, Benin, Botswana, Burkina Faso, Cameroon, Central African Republic, Chad, DR Congo, Ethiopia, India,",Decreasing,Vulnerable (VU)
Koala,Phascolarctos cinereus,15 yrs,Oceania,Australia,Decreasing,Vulnerable (VU)
Cougar,Puma concolor,10-20 yrs,"South America, North America","Argentina, Belize, Bolivia, Brazil, Canada, Chile, Colombia, Costa Rica, Ecuador,  El Salvador,",Decreasing,Least concern (LC)
Quokka,Setonix brachyurus,5-10 yrs,Oceania,Australia,Decreasing,Vulnerable (VU)
Jaguar,Panthera onca,11-20 yrs,"South America, North America","Argentina, Belize, Bolivia, Brazil, Colombia, Costa Rica, Ecuador, Guatemala, Guyana, Honduras,",Decreasing,Near Threatened (NT)
Raccoon,Procyon lotor,2-20 yrs,North America,"Belize, Canada, Costa Rica, El Salvador,  Guatemala, Honduras, Mexico, Nicaragua, Panama, United States",Increasing,Least concern (LC)
Cheetah,Acinonyx jubatus,10-20 yrs,"Africa, Asia","Algeria, Angola, Benin, Botswana, Burkina Faso, Central African Republic, Chad, Ethiopia, Iran, Kenya,",Decreasing,Vulnerable (VU)
Platypus,Ornithorhynchus anatinus,12-20 yrs,Oceania,Australia,Decreasing,Near Threatened (NT)
Coyote,Canis latrans,10-18 yrs,North America,"Belize, Canada, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama, United States",Increasing,Least concern (LC)
Moose,Alces alces,15-25 years,"Europe, North America, Asia","Belarus, Canada, China, Croatia, Czech Republic, Estonia, Finland, Germany, Hungary, Kazakhstan,",Stable,Least concern (LC)
Bobcat,Lynx rufus,12-25 yrs,"North America  Canada, Mexico, United States","Alberta, British Columbia, Manitoba, New Brunswick, Nova Scotia, Ontario, Québec, Saskatchewan, Alabama, Arizona,",Stable,Least concern (LC)
Leopard,Panthera pardus,10-20 yrs,"Asia, Africa","Angola, Armenia, Azerbaijan, Bangladesh, Benin, Bhutan, Botswana, Burkina Faso, Burundi, Cambodia,",Decreasing,Vulnerable (VU)
