1,Grey Wolf,Canis lupus,10-20 yrs
2,Tiger,Panthera tigris,10-15 yrs
3,Brown Bear,Ursus arctos,20-50 yrs
4,Blue Whale,Balaenoptera musculus,80-90 yrs
5,Giant Panda,Ailuropoda melanoleuca,20-30 yrs
6,Lion,Panthera leo,12-25 yrs
7,Koala,Phascolarctos cinereus,15 yrs
8,Cougar,Puma concolor,10-20 yrs
9,Quokka,Setonix brachyurus,5-10 yrs
10,Jaguar,Panthera onca,11-20 yrs
11,Raccoon,Procyon lotor,2-20 yrs
12,Cheetah,Acinonyx jubatus,10-20 yrs
13,Platypus,Ornithorhynchus anatinus,12-20 yrs
14,Coyote,Canis latrans,10-18 yrs
15,Moose,Alces alces,15-25 years
16,Bobcat,Lynx rufus,12-25 yrs
17,Leopard,Panthera pardus,10-20 yrs
18,Common Hippo,Hippopotamus amphibius,40-50 yrs
19,Wolverine,Gulo gulo,5-17 yrs
20,Red Panda,Ailurus fulgens,8-14 yrs
21,Capybara,Hydrochoerus hydrochaeris,6-12 yrs
22,Tasmanian Devil,Sarcophilus harrisii,5-8 yrs
23,American Bison,Bison bison,15-40 yrs
24,Bonobo,Pan paniscus,35-50 yrs
25,Honey Badger,Mellivora capensis,7-26 yrs
26,Red Fox,Vulpes vulpes,5-15 yrs
27,Groundhog,Marmota monax,3-10 yrs
28,Snow Leopard,Uncia uncia,15-21 yrs
29,Raccoon Dog,Nyctereutes procyonoides,6-11 yrs
30,American Black Bear,Ursus americanus,10-30 yrs
31,Meerkat,Suricata suricatta,5-15 yrs
32,African Wild Dog,Lycaon pictus,10-11 yrs
33,Reindeer,Rangifer tarandus,15-20 yrs
34,Elk,Cervus canadensis,8-20 yrs
35,Ocelot,Leopardus pardalis,7-20 yrs
36,Coypu,Myocastor coypus,6-10 yrs
37,Sugar Glider,Petaurus breviceps,4-14 yrs
38,Common Chimpanzee,Pan troglodytes,50-60 yrs
39,Serval,Leptailurus serval,
40,Bush Rat,Rattus fuscipes,1-5 yrs
41,Okapi,Okapia johnstoni,20-33 yrs
42,Humpback Whale,Megaptera novaeangliae,100 yrs
43,Arctic Fox,Vulpes lagopus,3-14 yrs
44,Fennec Fox,Vulpes zerda,10-12 yrs
45,Muskart,Ondatra zibethicus,3-10 yrs
46,Ermine,Mustela erminea,1-12.5 yrs
47,Pronghorn,Antilocapra americana,10-12 yrs
48,White-Tailed Deer,Odocoileus virginianus,6-20 yrs
49,Sea Otter,Enhydra lutris,19-23 yrs
50,Water Buffalo,Bubalus bubalis,25-29 yrs
51,Sable,Martes zibellina,8-18 yrs
52,Mandrill,Mandrillus sphinx,25-40 yrs
53,Spotted Hyena,Crocuta crocuta,20-40 yrs
54,Fossa,Cryptoprocta ferox,15-20 yrs
55,White Rhinoceros,Ceratotherium simum,45-50 yrs
56,Vaquita,Phocoena sinus,20 yrs
57,Binturong,Arctictis binturong,18-25 yrs
58,Gaur,Bos gaurus,26 yrs
59,Asian Elephant,Elephas maximus,70 yrs
60,Dugong,Dugong dugon,70 yrs
61,Asian Palm Civet,Paradoxurus hermaphroditus,15-24 yrs
62,Naked Mole-Rat,Heterocephalus glaber,32 yrs
63,Red Deer,Cervus elaphus,20 yrs
64,Sloth Bear,Melursus ursinus,40 yrs
65,House Mouse,Mus musculus,12 mos-6 yrs
66,Giant Golden-Crowned Flying Fox,Acerodon jubatus,12-23 yrs
67,Muskox,Ovibos moschatus,12-20 yrs
68,Brown Rat,Rattus norvegicus,2-4 yrs
69,African Buffalo,Syncerus caffer,11-29 yrs
70,Rusty-Spotted Cat,Prionailurus rubiginosus,18 yrs
71,Dhole,Cuon alpinus,16 yrs
72,Clouded Leopard,Neofelis nebulosa,11-17 yrs
73,Sun Bear,Helarctos malayanus,30 yrs
74,Pallas's Cat,Otocolobus manul,8-11.5 yrs
75,African Bush Elephant,Loxodonta africana,60-75 yrs
76,Eastern Gray Squirrel,Sciurus carolinensis,12.5-20 yrs
77,Indian Rhinoceros,Rhinoceros unicornis,40-50 yrs
78,Black Rhinoceros,Diceros bicornis,30-49 yrs
79,Markhor,Capra falconeri,10-13 yrs
80,Eurasian Lynx,Lynx lynx,13-25 yrs
81,Common Warthog,Phacochoerus africanus,12-18 yrs
82,Canadian Lynx,Lynx canadensis,15 yrs
83,Aye-Aye,Daubentonia madagascariensis,23 yrs
84,Impala,Aepyceros melampus,15 yrs
85,Pine Marten,Martes martes,10-17 yrs
86,American Badger,Taxidea taxus,9-15 yrs
87,Nilgai,Boselaphus tragocamelus,10-21 yrs
88,Vicuna,Vicugna vicugna,20-25 yrs
89,Blackbuck,Antilope cervicapra,10-15 yrs
90,Wisent,Bison bonasus,14-28 yrs
91,Kinkajou,Potos flavus,20-40 yrs
92,Amazon River Dolphin,Inia geoffrensis,30 yrs
93,Red Squirrel,Sciurus vulgaris,5-10 yrs
94,North American River Otter,Lontra canadensis,14-25 yrs
95,Bowhead Whale,Balaena mysticetus,100-200 yrs
96,Virginia Opossum,Didelphis virginiana,2-4 yrs
97,Black-Footed Cat,Felis nigripes,10-12 yrs
98,Mule Deer,Odocoileus hemionus,9-22 yrs
99,American Mink,Neovison vison,10 yrs
100,Jaguarundi,Puma yagouaroundi,15 yrs
101,Bighorn Sheep,Ovis canadensis,9-14 yrs
102,Spectacled Bear,Tremarctos ornatus,20-36 yrs
103,Guanaco,Lama guanicoe,20-25 yrs
104,Mountain Goat,Oreamnos americanus,12-20 yrs
105,Black Rat,Rattus rattus,1-4 yrs
106,Striped Hyena,Hyaena hyaena,10-25 yrs
107,Asiatic Black Bear,Ursus thibetanus,25 yrs
108,Przewalski's Horse,Equus ferus,20-25 yrs
109,Chamois,Rupicapra rupicapra,15-22 yrs
110,Roe Deer,Capreolus capreolus,10-12 yrs
111,Springbok,Antidorcas marsupialis,10 yrs
112,Sumatran Rhinoceros,Dicerorhinus sumatrensis,35-40 yrs
113,Saiga Antelope,Saiga tatarica,10-12 yrs
114,Aardwolf,Proteles cristata,8-20 yrs
115,Indian Giant Squirrel,Ratufa indica,20 yrs
116,Red Kangaroo,Macropus rufus,16-23 yrs
117,Gray Fox,Urocyon cinereoargenteus,6-8 yrs
118,Eastern Fox Squirrel,Sciurus niger,13-18 yrs
119,European Badger,Meles meles,6-16 yrs
120,Fin Whale,Balaenoptera physalus,80-90 yrs
121,Least Weasel,Mustela nivalis,1-10 yrs
122,American Marten,Martes americana,12-17 yrs
123,Leopard Cat,Prionailurus bengalensis,4-20 yrs
124,Wildcat,Felis silvestris,15 years
125,Proboscis Monkey,Nasalis larvatus,13-23 yrs
126,Giant Otter,Pteronura brasiliensis,8-19 yrs
127,Japanese Macaque,Macaca fuscata,6.3-32 yrs
128,Common Brushtail Possum,Trichosurus vulpecula,13-15 yrs
129,European Polecat,Mustela putorius,6-14 yrs
130,European Hare,Lepus europaeus,12 yrs
131,Gray Whale,Eschrichtius robustus,80 yrs
132,Sika Deer,Cervus nippon,12-25 yrs
133,Iberian Lynx,Lynx pardinus,13 yrs
134,Javan Rhinoceros,Rhinoceros sondaicus,30-45 yrs
135,Alpine Ibex,Capra ibex,10-21 yrs
136,Golden Jackal,Canis aureus,8-16 yrs
137,Ring-Tailed Lemur,Lemur catta,15-33 yrs
138,Bornean Orangutan,Pongo pygmaeus,45-60 yrs
139,American Beaver,Castor canadensis,10-20 yrs
140,Black-Footed Ferret,Mustela nigripes,3-9 yrs
141,Baiji,Lipotes vexillifer,24 yrs
142,Giant Anteater,Myrmecophaga tridactyla,25 yrs
143,European Rabbit,Oryctolagus cuniculus,9 yrs
144,Jungle Cat,Felis chaus,15 yrs
145,Pygmy Hippo,Choeropsis liberiensis,30-50 yrs
146,Water Deer,Hydropotes inermis,12 yrs
147,Ethiopian Wolf,Canis simensis,8-10 yrs
148,American Red Squirrel,Tamiasciurus hudsonicus,5-10 yrs
149,Fishing Cat,Prionailurus viverrinus,12 yrs
150,Rock Hyrax,Procavia capensis,12 yrs
151,Vervet Monkey,Chlorocebus pygerythrus,12-24 yrs
152,Arabian Oryx,Oryx leucoryx,20 yrs
153,Asian Wild Water Buffalo,Bubalus arnee,12-25 yrs
154,South Asian River Dolphin,Platanista gangetica,28 yrs
155,Margay,Leopardus wiedii,10-20 yrs
156,Plains Zebra,Equus quagga,9-40 yrs
157,Long-Tailed Macaque,Macaca fascicularis,15-30 yrs
158,Sambar,Rusa unicolor,20-26 yrs
159,Western Gorilla,Gorilla gorilla,35-50 yrs
160,Syrian Hamster,Mesocricetus auratus,2-4 yrs
161,Nine-Banded Armadillo,Dasypus novemcinctus,7-8 years
162,Numbat,Myrmecobius fasciatus,5-6 yrs
163,Onager,Equus hemionus,14-26 yrs
164,Saola,Pseudoryx nghetinhensis,8-10 yrs
165,North American Porcupine,Erethizon dorsatum,18 yrs
166,Bush Dog,Speothos venaticus,10 yrs
167,Sumatran Orangutan,Pongo abelii,35-50 yrs
168,Wild Bactrian Camel,Camelus ferus,40 yrs
169,Common Eland,Taurotragus oryx,15-25 yrs
170,Eastern Gorilla,Gorilla beringei,30-60 yrs
171,Large Flying Fox,Pteropus vampyrus,15-30 yrs
172,Star-Nosed Mole,Condylura cristata,2-4 yrs
173,Lion-Tailed Macaque,Macaca silenus,20-38 yrs
174,Greater Kudu,Tragelaphus strepsiceros,7-23 yrs
175,Golden Snub-Nosed Monkey,Rhinopithecus roxellana,26 yrs
176,Harp Seal,Pagophilus groenlandicus,35 yrs
177,Black-Tailed Jackrabbit,Lepus californicus,5-6 yrs
178,West Indian Manatee,Trichechus manatus,28-60 yrs
179,Pygmy Marmoset,Cebuella pygmaea,11-18.6 yrs
180,Gemsbok,Oryx gazella,18-22 yrs
181,Malayan Tapir,Tapirus indicus,30-36.5 yrs
182,Snowshoe Hare,Lepus americanus,1-5 yrs
183,Barbary Macaque,Macaca sylvanus,30 yrs
184,Long-Tailed Weasel,Mustela frenata,8 yrs
185,African Wild Ass,Equus africanus,25-50 yrs
186,Nilgiri Tahr,Nilgiritragus hylocrius,3-9 yrs
187,Takin,Budorcas taxicolor,16-20 yrs
188,Indian Flying Fox,Pteropus giganteus,15-31.5 yrs
189,Blue Wildebeest,Connochaetes taurinus,20-24.3 yrs
190,Gelada,Theropithecus gelada,30 yrs
191,Striped Skunk,Mephitis mephitis,1-10 yrs
192,California Sea Lion,Zalophus californianus,17-30 yrs
193,Philippine Tarsier,Carlito syrichta,12-20 yrs
194,Irrawaddy Dolphin,Orcaella brevirostris,30 yrs
195,Baikal Seal,Pusa sibirica,50-56 yrs
196,Wild Yak,Bos mutus,25 yrs
197,European Hedgehog,Erinaceus europaeus,6-10 yrs
198,Little Brown Bat,Myotis lucifugus,6-30 yrs
199,Tapanuli Orangutan,Pongo tapanuliensis,30 yrs
200,Siamang Gibbon,Symphalangus syndactylus,25-30 yrs
201,Indian Pangolin,Manis crassicaudata,13 yrs
202,Common Vampire Bat,Desmodus rotundus,9-12 yrs
203,European Otter,Lutra lutra,22 yrs
204,Mexican Free-Tailed Bat,Tadarida brasiliensis,
205,Black-Backed Jackal,Canis mesomelas,8-14 yrs
206,Gray Seal,Halichoerus grypus,25-35 yrs
207,Banteng,Bos javanicus,16-26 yrs
208,Gilbert's Potoroo,Potorous gilbertii,7-12 yrs
209,Eastern Grey Kangaroo,Macropus giganteus,7-20 yrs
210,Eurasian Beaver,Castor fiber,10-25 yrs
211,Grévy's Zebra,Equus grevyi,12-30 yrs
212,Sei Whale,Balaenoptera borealis,50-75 yrs
213,Kit Fox,Vulpes macrotis,5.5-12 yrs
214,Yellow-Bellied Marmot,Marmota flaviventris,13-15 yrs
215,Brown Hyena,Hyaena brunnea,12-13 yrs
216,Kitti's hog-nosed bat,Craseonycteris thonglongyai,
217,Asian Golden Cat,Catopuma temminckii,20 yrs
218,Southern Right Whale,Eubalaena australis,50-100 yrs
219,Giant Armadillo,Priodontes maximus,12-15 yrs
220,Thomson's Gazelle,Eudorcas thomsonii,10-20 yrs
221,Addax,Addax nasomaculatus,19-25 yrs
222,Patagonian Mara,Dolichotis patagonum,7-10 yrs
223,Golden Lion Tamarin,Leontopithecus rosalia,15-25 yrs
224,Giraffe,Giraffa camelopardalis,28 yrs
225,Tamaraw,Bubalus mindorensis,20-25 yrs
226,Elephant Seal,Genus Mirounga,22 yrs
227,Sable Antelope,Hippotragus niger,17-19 yrs
228,Short-Beaked Echidna,Tachyglossus aculeatus,30-50 yrs
229,Hamadryas Baboon,Papio hamadryas,37 yrs
230,Thinhorn Sheep,Ovis dalli,12-20 yrs
231,White-Nosed Coati,Nasua narica,14 yrs
232,Chacma Baboon,Papio ursinus,40 yrs
233,Bat-Eared Fox,Otocyon megalotis,6-13 yrs
234,Mediterranean Monk Seal,Monachus monachus,20-45 yrs
235,Polynesian Rat,Rattus exulans,12-15 mos
236,Tayra,Eira barbara,18 yrs
237,South American Coati,Nasua nasua,7-14 yrs
238,Island Fox,Urocyon littoralis,4-8 yrs
239,Sunda Clouded Leopard,Neofelis diardi,13 yrs
240,Nyala,Tragelaphus angasii,16-19 yrs
241,Grey-Headed Flying Fox,Pteropus poliocephalus,15-23 yrs
242,Steller Sea Lion,Eumetopias jubatus,20-30 yrs
